cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rship2,rshipa2,rship3,rshipa3,rship4,rshipa4,rship5,rshipa5,rship6,rshipa6,rship7,rshipa7,rship8,rshipa8,rship9,rshipa9,rship10,rshipa10,rship11,rshipa11,rship12,rshipa12,rship13,rshipa13,rship14,rshipa14,rship15,rshipa15,rship16,rshipa16,rship17,rshipa17,rship18,rshipa18
FI,ESS1-7e01,1,08.12.2016,127783,ESS7e02_1,7,2.1,10041,1,0.848411279,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1930,84,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127784,ESS7e02_1,7,2.1,10044,1,1.1854046,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1986,29,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127785,ESS7e02_1,7,2.1,10047,1,0.951647909,0.218315716,4,1,2,1,1,6,6,6,6,6,6,6,6,6,,,,,,1966,48,1967,1996,1998,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127786,ESS7e02_1,7,2.1,10048,1,0.848411279,0.218315716,3,1,2,2,6,6,6,6,6,6,6,6,6,6,,,,,,1953,62,1958,1993,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127787,ESS7e02_1,7,2.1,10049,1,0.951647909,0.218315716,5,1,2,1,1,2,6,6,6,6,6,6,6,6,,,,,,1973,41,1971,2002,2004,2007,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127788,ESS7e02_1,7,2.1,10052,1,0.913380809,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1969,45,1968,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127789,ESS7e02_1,7,2.1,10056,1,0.913380809,0.218315716,5,2,1,2,2,1,6,6,6,6,6,6,6,6,,,,,,1978,36,1978,2006,2008,2014,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127790,ESS7e02_1,7,2.1,10057,1,0.795825118,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1949,65,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127791,ESS7e02_1,7,2.1,10058,1,1.04886476,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1947,67,1946,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127792,ESS7e02_1,7,2.1,10060,1,0.941414656,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1980,34,1979,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,5,6,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
